movement_id,origin_code,origin_name,origin_district,origin_sub_district,origin_X,origin_Y,origin_in_cluster,cluster_name,destination_LBM_CY_id,destination_district,destination_sub_district,destination_X,destination_Y,species,number,weekly_volume
D-BGR-197-3-02-OUT,D-BGR-200,YANTO,BOGOR,CISARUA,106.9311,-6.680067,No,,,BOGOR,CISARUA,106.956134,-6.698969,LA,5,35
D-BGR-206-1-01-OUT,D-BGR-206,HERMAN (ID LAMA:SAMSUL),BOGOR,CISEENG,106.703117,-6.45365,No,,,KOTA TANGERANG,CILEDUG,106.70568,-6.238776,BR,1000,7000
D-BGR-206-1-02-OUT,D-BGR-206,HERMAN (ID LAMA:SAMSUL),BOGOR,CISEENG,106.703117,-6.45365,No,,,BOGOR,CISEENG,106.678597,-6.455674,BR,400,2800
D-BGR-206-2-01-OUT,D-BGR-207,HOGURT FARM,BOGOR,CISEENG,106.694983,-6.435083,No,,,BOGOR,CISEENG,106.678597,-6.455674,BR,80,240
D-BGR-206-3-01-OUT,D-BGR-208,UD. MANDIRI,BOGOR,CISEENG,106.694983,-6.4346,No,,,JAKARTA BARAT,GROGOLPETAMBURAN,106.786438,-6.163436,BR,600,4200
D-BGR-206-3-02-OUT,D-BGR-208,UD. MANDIRI,BOGOR,CISEENG,106.694983,-6.4346,No,,,KOTA TANGERANG,CILEDUG,106.70568,-6.238776,BR,500,3500
D-BGR-206-3-03-OUT,D-BGR-208,UD. MANDIRI,BOGOR,CISEENG,106.694983,-6.4346,No,,,BOGOR,PARUNG,106.71303,-6.435132,BR,400,2800
D-BGR-206-3-04-OUT,D-BGR-208,UD. MANDIRI,BOGOR,CISEENG,106.694983,-6.4346,No,,,KOTA TANGERANG SELATAN,PAMULANG,106.738845,-6.339349,BR,500,3500
D-BGR-209-1-01-OUT,D-BGR-209,ARKA PRIMA,BOGOR,PARUNG,106.693067,-6.42785,No,,,JAKARTA TIMUR,CIRACAS,106.878312,-6.333635,BR,300,2100
D-BGR-209-1-02-OUT,D-BGR-209,ARKA PRIMA,BOGOR,PARUNG,106.693067,-6.42785,No,,,KOTA DEPOK,SAWANGAN,106.764064,-6.405123,BR,300,2100
D-BGR-209-1-03-OUT,D-BGR-209,ARKA PRIMA,BOGOR,PARUNG,106.693067,-6.42785,No,,,JAKARTA TIMUR,MATRAMAN,106.864523,-6.203772,BR,200,1400
D-BGR-209-1-04-OUT,D-BGR-209,ARKA PRIMA,BOGOR,PARUNG,106.693067,-6.42785,No,,,BOGOR,CISEENG,106.678597,-6.455674,BR,200,1400
D-BGR-211-1-01-OUT,D-BGR-211,SULTAN MULTI Ps,BOGOR,PARUNG,106.690483,-6.44505,No,,,BOGOR,CISEENG,106.678597,-6.455674,BR,200,200
D-BGR-211-1-02-OUT,D-BGR-211,SULTAN MULTI Ps,BOGOR,PARUNG,106.690483,-6.44505,No,,,BOGOR,GUNUNG SINDUR,106.686687,-6.387298,BR,150,150
D-BGR-212-2-01-OUT,D-BGR-213,AL-BAHRI FARM,BOGOR,CISEENG,106.68915,-6.445283,No,,,BOGOR,PARUNG,106.71303,-6.435132,BR,500,3500
D-BGR-214-3-01-OUT,D-BGR-216,KELOMPOK MITRA,BOGOR,CIBUNGBULANG,106.655033,-6.568917,No,,,BOGOR,CIBUNGBULANG,106.661072,-6.576261,BR,200,1400
D-BGR-214-3-02-OUT,D-BGR-216,KELOMPOK MITRA,BOGOR,CIBUNGBULANG,106.655033,-6.568917,No,,D-BGR-182,BOGOR,LEUWILIANG,106.632733,-6.572817,BR,200,1400
D-BGR-220-1-01-OUT,D-BGR-220,NENG NOVI,BOGOR,NANGGUNG,106.54795,-6.578783,No,,,BOGOR,NANGGUNG,106.537548,-6.672647,BR,5,35
D-BGR-222-1-01-OUT,D-BGR-222,KUSNAWATI,BOGOR,LEUWISADENG,106.563033,-6.563483,No,,,BOGOR,LEUWISADENG,106.587493,-6.572324,BR,100,700
D-BGR-223-2-01-OUT,D-BGR-224,H. USMAN,BOGOR,CIOMAS,106.758117,-6.602217,No,,D-BGR-226,BOGOR,CIOMAS,106.731233,-6.164133,BR,30,30
D-BGR-227-1-01-OUT,D-BGR-227,RIZQI FARM,BOGOR,CIOMAS,106.7584,-6.607067,No,,D-BGR-226,BOGOR,CIOMAS,106.731233,-6.164133,BR,30,30
D-BGR-230-1-01-OUT,D-BGR-230,BUDI SANTOSO,BOGOR,CIAMPEA,106.69695,-6.569683,No,,D-BGR-203,BOGOR,CIAMPEA,106.698253,-6.574048,BR,100,700
D-BGR-233-1-01-OUT,D-BGR-233,BAPAK MARGO,BOGOR,CILEUNGSI,106.951933,-6.408333,No,,D-BGR-128,BOGOR,GUNUNG PUTRI,106.937583,-6.416367,BR,1200,3600
