code,name,district,sub_district,X,Y,type
M-BKS-033,Pasar Zamrud,KOTA BEKASI,MUSTIKA JAYA,107.01695,-6.307033333,LBM
M-BKS-036,Lurah Mustikajaya,KOTA BEKASI,MUSTIKA JAYA,107.02735,-6.285783333,LBM
M-BKS-037,Pasar Pondok Timur Indah,KOTA BEKASI,MUSTIKA JAYA,107.0164833,-6.290083333,LBM
M-BKS-039,PASAR BANTAR GEBANG,KOTA BEKASI,BANTARGEBANG,106.9873,-6.31285,LBM
M-BKS-048,Lurah Bambu Kuning,KOTA BEKASI,BEKASI SELATAN,106.9879,-6.264333333,LBM
M-BKS-049,Lurah Poncol Baru,KOTA BEKASI,BEKASI SELATAN,106.98475,-6.237916667,LBM
M-BKS-050,Lurah Mujaer,KOTA BEKASI,BEKASI SELATAN,106.9805,-6.236483333,LBM
M-BKS-053,M. Marsim,KOTA BEKASI,BEKASI UTARA,107.01675,-6.175333333,LBM
M-BKS-059,PASAR BARU BEKASI,KOTA BEKASI,BEKASI TIMUR,107.0145167,-6.247966667,LBM
M-BKS-062,Pasar Kaget Margahayu,KOTA BEKASI,BEKASI TIMUR,107.0145,-6.25415,LBM
M-BKS-074,PASAR RAWALUMBU,KOTA BEKASI,RAWALUMBU,107.0026333,-6.27155,LBM
M-BKS-076,PASAR PONDOK GEDE,KOTA BEKASI,PONDOKGEDE,106.99455,-6.23685,LBM
M-BKS-077,Pasar Pagi Pekayon,KOTA BEKASI,BEKASI SELATAN,106.9781167,-6.26,LBM
M-BKS-079,Pasar Pedurenan Baru,KOTA BEKASI,MUSTIKA JAYA,107.0161908,-6.307127064,LBM
M-BKS-080,PASAR JAMBLANG,KOTA BEKASI,BEKASI SELATAN,106.9776484,-6.258056534,LBM
M-DPK-001,PASAR DEPOK JAYA,KOTA DEPOK,PANCORAN MAS,106.8142167,-6.392016667,LBM
M-DPK-002,Market Agency,KOTA DEPOK,PANCORAN MAS,106.8182667,-6.399966667,LBM
M-DPK-004,PASAR RENI JAYA,KOTA DEPOK,BOJONGSARI,106.7264167,-6.362883333,LBM
M-DPK-006,Wiwi Wirahmi,KOTA DEPOK,SUKMA JAYA,106.8453,-6.391783333,LBM
M-DPK-007,PASAR MUSI,KOTA DEPOK,SUKMA JAYA,106.8480667,-6.38945,LBM
M-DPK-009,H. Deden,KOTA DEPOK,SUKMA JAYA,106.8286833,-6.445566667,LBM
M-DPK-010,Drs. DJ. Galingging,KOTA DEPOK,CIMANGGIS,106.8681167,-6.377416667,LBM
M-DPK-013,PASAR SUKATANI,KOTA DEPOK,TAPOS,106.8896,-6.386766667,LBM
M-DPK-015,Sujarno,KOTA DEPOK,BEJI,106.8250167,-6.386333333,LBM
M-DPK-018,Pasar Pasir Gunung Selatan,KOTA DEPOK,CIMANGGIS,106.8589333,-6.357683333,LBM
M-DPK-019,Pasar Segar Depok,KOTA DEPOK,PANCORAN MAS,106.7998496,-6.398606262,LBM
M-JKB-011,PASAR GANEFO,JAKARTA BARAT,CENGKARENG,106.7216333,-6.149683333,LBM
M-JKB-018,Benyamin Manik,JAKARTA BARAT,TAMBORA,106.792,-6.1432,LBM
M-JKB-019,Sunardi,JAKARTA BARAT,TAMBORA,106.8068,-6.1448,LBM
M-JKB-020,Martono,JAKARTA BARAT,TAMBORA,106.80185,-6.156883333,LBM
M-JKB-021,PASAR JEMBATAN BESI,JAKARTA BARAT,TAMBORA,106.7971,-6.15085,LBM
M-JKB-024,Drs. Sayuti,JAKARTA BARAT,PALMERAH,106.7954667,-6.189733333,LBM
M-JKB-025,Mansyur,JAKARTA BARAT,KEMBANGAN,106.76555,-6.148833333,LBM
M-JKB-028,"Sugeng Purnomo, SH",JAKARTA BARAT,KEBON JERUK,106.7645167,-6.163883333,LBM
M-JKB-029,PASAR JELAMBAR,JAKARTA BARAT,GROGOL PETAMBURAN,106.7791667,-6.159883333,LBM
M-JKB-033,Pasar Jelambar,JAKARTA BARAT,GROGOL PETAMBURAN,106.779,-6.1606,LBM
M-JKB-034,Pasar Cengkareng,JAKARTA BARAT,CENGKARENG,106.7288667,-6.15205,LBM
M-JKB-035,PD Slipi,JAKARTA BARAT,PALMERAH,106.7955833,-6.190216667,LBM
M-JKP-001,PASAR PETOJO ILIR,JAKARTA PUSAT,GAMBIR,106.8121167,-6.1623,LBM
M-JKP-003,PASAR RAWASARI,JAKARTA PUSAT,CEMPAKA PUTIH,106.8726,-6.185166667,LBM
M-JKP-004,PD. Pasar Jaya,JAKARTA PUSAT,CEMPAKA PUTIH,106.8582833,-6.174533333,LBM
M-JKP-011,PASAR GEMBRONG LAMA,JAKARTA PUSAT,JOHAR BARU,106.85505,-6.178166667,LBM
M-JKP-012,PASAR JOHAR BARU,JAKARTA PUSAT,JOHAR BARU,106.85575,-6.18555,LBM
M-JKP-019,PD. Pasar Jaya,JAKARTA PUSAT,SENEN,106.8428333,-6.17515,LBM
M-JKP-023,PD. Pasar Jaya,JAKARTA PUSAT,KEMAYORAN,106.96435,-6.165016667,LBM
M-JKP-024,PASAR SERDANG,JAKARTA PUSAT,KEMAYORAN,106.8639667,-6.156833333,LBM
M-JKP-025,Pasar Cikini,JAKARTA PUSAT,MENTENG,106.8417833,-6.197783333,LBM
M-JKP-026,Pasar Gondangdia,JAKARTA PUSAT,MENTENG,106.8326,-6.186383333,LBM
M-JKP-027,H. Ahmad,JAKARTA PUSAT,TANAH ABANG,106.8153,-6.2162,LBM
M-JKP-028,Pasar Palm Merah,JAKARTA PUSAT,TANAH ABANG,106.7957,-6.208883333,LBM
M-JKP-029,Tolani dan Ali,JAKARTA PUSAT,TANAH ABANG,106.7965667,-6.2076,LBM
M-JKP-030,Pasar Kebon Jati Tanah Abang,JAKARTA PUSAT,TANAH ABANG,106.8119,-6.189266667,LBM
M-JKP-031,Pasar Kebon Melati,JAKARTA PUSAT,TANAH ABANG,106.8123667,-6.19305,LBM
M-JKP-032,PASAR TIMBUL KARTINI,JAKARTA PUSAT,SAWAH BESAR,106.8306333,-6.15135,LBM
M-JKP-033,Pasar Atom,JAKARTA PUSAT,SAWAH BESAR,106.8332349,-6.153836177,LBM
M-JKP-034,Ps. Pangkalan Asem,JAKARTA PUSAT,SAWAH BESAR,106.8332349,-6.153836177,LBM
M-JKP-035,Pasar Karang Anyar,JAKARTA PUSAT,SAWAH BESAR,106.8284333,-6.156366667,LBM
M-JKP-036,Ps Pulau Gundul,JAKARTA PUSAT,JOHAR BARU,106.8545403,-6.182123793,LBM
M-JKS-002,Suparno,JAKARTA SELATAN,KEBAYORAN LAMA,106.7815333,-6.2389,LBM
M-JKS-006,Kasman Panjaitan,JAKARTA SELATAN,JAGAKARSA,106.6831,-6.3311,LBM
M-JKS-022,PASAR MINGGU,JAKARTA SELATAN,PASAR MINGGU,106.8434167,-6.284466667,LBM
M-JKS-025,Mat Salam,JAKARTA SELATAN,KEBAYORAN LAMA,106.8406667,-6.207866667,LBM
M-JKS-026,PASAR WARUNG BUNCIT,JAKARTA SELATAN,MAMPANG PRAPATAN,106.82405,-6.254883333,LBM
M-JKS-027,PASAR MAMPANG PRAPATAN,JAKARTA SELATAN,MAMPANG PRAPATAN,106.8250167,-6.241333333,LBM
M-JKS-028,PASAR BLOK A,JAKARTA SELATAN,KEBAYORAN BARU,106.7937,-6.312266667,LBM
M-JKS-029,PD. Pasar Jaya,JAKARTA SELATAN,CILANDAK,106.8081333,-6.278583333,LBM
M-JKS-030,PASAR MEDE,JAKARTA SELATAN,CILANDAK,106.7952833,-6.286866667,LBM
M-JKS-031,PASAR ALFA,JAKARTA SELATAN,PESANGGRAHAN,106.7545333,-6.226866667,LBM
M-JKS-032,Thoyib,JAKARTA SELATAN,PESANGGRAHAN,106.7579,-6.237616667,LBM
M-JKS-033,PASAR MAYESTIK,JAKARTA SELATAN,KEBAYORAN BARU,106.7910167,-6.241533333,LBM
M-JKS-034,Pasar Pondok Labu,JAKARTA SELATAN,CILANDAK,106.7910167,-6.241533333,LBM
M-JKS-036,PASAR KEBAYORAN LAMA,JAKARTA SELATAN,KEBAYORAN LAMA,106.7819833,-6.237866667,LBM
M-JKS-038,Ps. Radio Dalam,JAKARTA SELATAN,KEBAYORAN BARU,106.801412,-6.244751109,LBM
M-JKS-039,Ps. Cipete,JAKARTA SELATAN,KEBAYORAN BARU,106.801412,-6.244751109,LBM
M-JKT-019,Ps. Perumnas Klender,JAKARTA TIMUR,DUREN SAWIT,106.9204169,-6.232474436,LBM
M-JKT-050,PD. Pasar Jaya,JAKARTA TIMUR,MATRAMAN,106.8610833,-6.205066667,LBM
M-JKT-074,PASAR KLENDER,JAKARTA TIMUR,CAKUNG,106.9013333,-6.2123,LBM
M-JKT-087,Market Agency,JAKARTA TIMUR,CAKUNG,106.9664833,-6.1901,LBM
M-JKT-091,PASAR PJKA LOKOMOTIF,JAKARTA TIMUR,JATINEGARA,106.8674333,-6.21545,LBM
M-JKT-092,PD. Pasar Jaya,JAKARTA TIMUR,JATINEGARA,106.8812167,-6.236033333,LBM
M-JKT-093,PASAR JATINEGARA,JAKARTA TIMUR,JATINEGARA,106.8652,-6.216916667,LBM
M-JKT-100,H. Dalih,JAKARTA TIMUR,CIPAYUNG,106.8922833,-6.350683333,LBM
M-JKT-113,PASAR KRAMAT JATI,JAKARTA TIMUR,KRAMAT JATI,106.8677833,-6.268033333,LBM
M-JKT-115,PASAR CIJANTUNG,JAKARTA TIMUR,PASAR REBO,106.8634833,-6.30765,LBM
M-JKT-117,PD. Pasar Jaya Ciracas,JAKARTA TIMUR,CIRACAS,106.8783116,-6.333634584,LBM
M-JKT-118,PD. Pasar Jaya Cibubur,JAKARTA TIMUR,CIRACAS,106.8783116,-6.333634584,LBM
M-JKT-120,Ps. Jaya Rawamangun,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,LBM
M-JKT-121,Ps Klender SS,JAKARTA TIMUR,CAKUNG,106.9403369,-6.188741675,LBM
M-JKT-122,Ps Enjo,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,LBM
M-JKT-123,Ps Pulogadung,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,LBM
M-JKT-124,Ps Ampela,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,LBM
