movement_id,origin_code,origin_name,origin_district,origin_sub_district,origin_x,origin_y,species,number,weekly_volume,type_destination,name_destination,destination_lbm_cy_id,destination_district,destination_sub_district,destination_x_original,destination_y_original,xy,point_x_subdistrict,point_y_subdistrict,object_id_destination,in_km_distance_origin_destination,origin_in_cluster,cluster_name
D-BGR-197-3-02-OUT,D-BGR-200,YANTO,BOGOR,CISARUA,106.9311,-6.680067,LA,5,35,AS,,,BOGOR,CISARUA,106.956134,-6.698969,subdistrict coordinate,106.9561344,-6.698968858,1916,53.02020772,No,
D-BGR-206-1-01-OUT,D-BGR-206,HERMAN (ID LAMA:SAMSUL),BOGOR,CISEENG,106.703117,-6.45365,BR,1000,7000,AS,PEDAGANG AYAM POTONG,,KOTA TANGERANG,CILEDUG,106.70568,-6.238776,subdistrict coordinate,108.7474726,-6.898093503,2203,10.24076234,No,
D-BGR-206-1-02-OUT,D-BGR-206,HERMAN (ID LAMA:SAMSUL),BOGOR,CISEENG,106.703117,-6.45365,BR,400,2800,AS,PEDAGANG AYAM POTONG,,BOGOR,CISEENG,106.678597,-6.455674,subdistrict coordinate,106.6785968,-6.455673513,1934,29.52759887,No,
D-BGR-206-2-01-OUT,D-BGR-207,HOGURT FARM,BOGOR,CISEENG,106.694983,-6.435083,BR,80,240,AB,Bulakmiri,,BOGOR,CISEENG,106.678597,-6.455674,subdistrict coordinate,106.6785968,-6.455673513,1934,13.01974315,No,
D-BGR-206-3-01-OUT,D-BGR-208,UD. MANDIRI,BOGOR,CISEENG,106.694983,-6.4346,BR,600,4200,AB,PEDAGANG AYAM POTONG,,JAKARTA BARAT,GROGOL PETAMBURAN,106.786438,-6.163436,subdistrict coordinate,106.7864384,-6.163435669,1889,40.49273075,No,
D-BGR-206-3-02-OUT,D-BGR-208,UD. MANDIRI,BOGOR,CISEENG,106.694983,-6.4346,BR,500,3500,AB,PEDAGANG AYAM POTONG,,KOTA TANGERANG,CILEDUG,106.70568,-6.238776,subdistrict coordinate,108.7474726,-6.898093503,2203,28.92441396,No,
D-BGR-206-3-03-OUT,D-BGR-208,UD. MANDIRI,BOGOR,CISEENG,106.694983,-6.4346,BR,400,2800,AB,WARGA SEKITAR,,BOGOR,PARUNG,106.71303,-6.435132,subdistrict coordinate,106.7130303,-6.435132238,1933,30.36524777,No,
D-BGR-206-3-04-OUT,D-BGR-208,UD. MANDIRI,BOGOR,CISEENG,106.694983,-6.4346,BR,500,3500,AB,PEDAGANG AYAM POTONG,,KOTA TANGERANG SELATAN,PAMULANG,106.738845,-6.339349,subdistrict coordinate,106.7388451,-6.339349381,3997,30.95002024,No,
D-BGR-209-1-01-OUT,D-BGR-209,ARKA PRIMA,BOGOR,PARUNG,106.693067,-6.42785,BR,300,2100,AS,PEDAGANG AYAM POTONG,,JAKARTA TIMUR,CIRACAS,106.878312,-6.333635,subdistrict coordinate,106.8783116,-6.333634584,1869,12.75207723,No,
D-BGR-209-1-02-OUT,D-BGR-209,ARKA PRIMA,BOGOR,PARUNG,106.693067,-6.42785,BR,300,2100,AS,PEDAGANG AYAM POTONG,,KOTA DEPOK,SAWANGAN,106.764064,-6.405123,subdistrict coordinate,106.7640639,-6.405123301,2501,16.30146328,No,
