movement_id,origin_district,type,species,number,weekly_volume,destination_code,destination_name,destination_x,destination_y,destination_district,destination_subdistrict,point_x_subdistrict_destination,point_y_subdistrict_destination,object_id_subdistrict_destination,in_km_distance_origin_district_destination,destination_in_cluster,destination_cluster_name,cy_id
M-JKT-137-14-02-IN,PONOROGO,Br,AK,500,3500,M-JKT-150,ibu yanti,106.920033,-6.1964,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,546.8981376,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-14-03-IN,BLITAR,Br,AK,500,3500,M-JKT-150,ibu yanti,106.920033,-6.1964,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,632.1945635,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-15-01-IN,KOTA SURAKARTA,LBM,AK,2400,2400,M-JKT-151,Sugimin,106.920117,-6.196533,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,462.0051361,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-16-01-IN,KOTA SURAKARTA,LBM,AK,225,225,M-JKT-152,Junaedi,106.920267,-6.196617,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,462.0051361,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-17-01-IN,KEDIRI,LBM,BR,,0,M-JKT-153,H.IKA,106.92015,-6.1968,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,598.0300953,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-17-02-IN,KEDIRI,LBM,AK,300,2100,M-JKT-153,H.IKA,106.92015,-6.1968,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,598.0300953,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-18-01-IN,KOTA SURAKARTA,LBM,AK,225,225,M-JKT-154,Wiyono,106.920367,-6.19675,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,462.0051361,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-19-01-IN,KOTA SURAKARTA,Br,BR,1500,10500,M-JKT-155,H. Triyanto,106.920383,-6.196733,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,462.0051361,Yes,Rawa Kepiting,M-JKT-137-1
M-JKT-137-20-01-IN,BOGOR,FA,BR,2000,14000,M-JKT-156,Lasto jaya,106.9202,-6.19655,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,36.67808816,Yes,Rawa Kepiting,M-JKT-137-2
M-JKT-137-20-02-IN,KOTA SURAKARTA,FA,BR,,0,M-JKT-156,Lasto jaya,106.9202,-6.19655,JAKARTA TIMUR,PULO GADUNG,106.8889122,-6.193299382,1876,462.0051361,Yes,Rawa Kepiting,M-JKT-137-2
